id;descricao;proprietario;numero_conta;iban;ativo
1;Identity;transmitter;Savings Account Land incubate;LI09250027Y0Q34450228;false
2;tertiary Towels;sky blue Corporate Analyst;gold SSL;LT770091235007787781;false
3;paradigms Lock;Falkland Islands Pound Lead Manat;Buckinghamshire cross-platform;AT218856742001385006;true
4;leverage ivory;orange De-engineered;violet technologies;BA680445110209040305;false
5;functionalities;firmware;ivory;EE728085780030703965;true
6;ROI redefine;Practical Kids Wall;Lodge Manors;SE8995000023030400143680;false
7;Buckinghamshire Streamlined Awesome;calculating Turnpike;online Parkways;SK1632361150550297060015;false
8;SAS;Consultant Senior leverage;convergence;LT333100606082060108;false
9;generating Assimilated;Assistant;ADP;SA39869PH177009498892752;false
10;collaboration Riel Buckinghamshire;GB applications;quantifying Seamless;AD6970070601991086G2951X;false
